stress	estrés
bashful	tímido
mocks	burla
unhappily	infelizmente
efficient	eficiente
abscond	fugarse
saggy	flaccidez
miseries	miserias
admonishingly	admonitorio
problems	problemas
aggrieve	ofender
subversion	subversión
blameless	irreprochable
degradation	degradación
patriot	patriota
forbid	prohibir
inordinate	desordenado
dead	muerto
denunciation	denuncia
unsettlingly	perturbadoramente
hurt	daño
strangle	estrangular
spoils	botín
ample	amplio
exaltation	exaltación
denigrate	denigrar
skilled	entrenado
worsen	exacerbar
phobia	fobia
diligent	diligente
paltry	miserable
supported	apoyado
purposeful	útil
boastful	jactancioso
appeal	apelación
tease	embromar
rocky	rocoso
raped	violada
militancy	militancia
coerce	obligar
deterrent	disuasivo
self-coup	autogolpe
tetchily	irasciblemente
enjoyed	disfrutado
stall	establo
veritable	verdadero
beggar	mendigo
misaligns	desalinea
throb	latido
sagging	hundimiento
annoyingly	molestamente
proper	correcto
peace	paz
foul	falta
cherish	apreciar
gasp	grito
immaculate	inmaculado
slanderously	blasfemados
declining	declinante
pity	lástima
greedy	codicioso
cheesy	caseoso
apathetically	apatía
beseech	implorar
comfort	confort
predicament	predicamento
resplendent	resplandeciente
ardently	ardientemente
dent	abolladura
draconian	draconiana
fabulous	fabuloso
exceptional	excepcional
ridiculous	ridículo
merry	alegre
portable	portátil
negation	negación
intimidation	intimidación
coward	cobarde
panders	alcahuetes
sicken	enfermar
incorrigibly	incorregible
irreproachable	irreprochable
gainfully	remunerado
awarded	otorgado
unfaithful	infiel
dismissive	desdeñoso
splatter	salpicadura
redeeming	redentor
capriciousness	capricho
unbiased	imparcial
snare	lazo
excite	excitar
soulful	sentimental
flare	llamarada
brave	valiente
deprive	privar
election-rigger	elecciones-instalador
despairing	desesperado
consistent	consistente
obstinate	obstinado
nobly	noble
fatty	graso
implausible	increíble
earnestness	seriedad
noteworthy	notable
disobedient	desobediente
accusations	acusaciones
lone	solitario
disobey	desobedecer
glee	júbilo
mesmerize	hipnotizar
complaining	quejarse
thrilled	encantados
sluts	zorras
forlorn	abandonado
ruffian	rufián
gratifying	gratificante
syndrome	síndrome
nifty	elegante
hot	caliente
extoll	ensalzar
loveliness	hermosura
illustrious	ilustre
staid	serio
deplore	deplorar
counter-attacks	contraataques
frighteningly	pavorosamente
earnest	serio
obnoxiously	odiosamente
vibrantly	vibrantemente
aborts	aborta
embarrassment	vergüenza
isolation	aislamiento
awkward	incómodo
pugnacious	pugnaz
versatile	versátil
pamperedness	mimo
divisive	divisivo
sufficiently	suficientemente
overtaking	adelantamiento
deaf	sordo
thrilling	electrizante
readable	legible
inspiration	inspiración
opulent	opulento
cussed	terco
bereave	privar
faltered	tambaleado
lagging	retraso
enjoin	ordenar
spade	pala
demean	degradar
disgustingly	asquerosamente
savior	salvador
dominate	conquista
improbably	improbablemente
masterful	maestro
patient	paciente
dullard	zoquete
impressive	impresionante
hard	duro
punish	castigar
untenable	insostenible
soft	suave
distastefully	desagrado
lustrous	lustroso
hogs	cerdos
flares	bengalas
deceit	engaño
accusing	acusando
unnerving	enervante
splendid	espléndido
disapproval	desaprobación
symptom	síntoma
calumnies	calumnias
dripped	goteado
repudiate	repudiar
fleeing	huyendo
agonies	agonías
temptingly	tentadoramente
swift	rápido
relentless	implacable
happy	feliz
hideously	horriblemente
doubtless	indudable
favor	favorecer
reprehensible	censurable
apprehensively	aprensión
flees	huye
onerously	onerosa
risky	arriesgado
mastery	maestría
inflationary	inflacionista
gimmicked	trucada
adored	adorado
abort	abortar
dungeon	mazmorra
passiveness	pasividad
shoddy	pacotilla
forgetful	olvidadizo
vengeful	vengativo
shrew	musaraña
ill-favored	feo
exhilarating	estimulante
smoothly	suavemente
resounding	rotundo
sickeningly	repugnantemente
befoul	ensuciar
coercive	coactivo
nonsense	disparates
refuse	rechazar
malign	maligno
indecency	indecencia
undisputable	indiscutible
desolation	soledad
needy	necesitado
obnoxious	desagradable
callous	calloso
split	división
deficiency	deficiencia
contrived	artificial
forceful	enérgico
err	errar
drop-outs	abandonos
cravenly	cobardemente
afraid	miedo
needlessly	innecesariamente
productive	productivo
cramped	estrecho
infamous	infame
gaff	garfio
kills	muertes
energize	energizar
regrets	excusas
scandalous	escandaloso
humid	húmedo
jeer	burla
dangerous	peligroso
eased	aliviado
individualized	individualizados
casualty	víctima
accurate	exacto
titillate	excitar
conflicting	contradictorio
unfinished	inconcluso
tenacious	tenaz
impugn	impugnar
stringently	rigurosamente
dragged	arrastrado
irksome	molesto
unjustified	injustificado
reactionary	reaccionario
slave	esclavo
master	maestro
puzzling	misterioso
prize	premio
compassion	compasión
expropriation	expropiación
inclement	inclemente
protesting	protestar
costly	costoso
imperfectly	imperfectamente
autocrat	autócrata
wrongly	erróneamente
insulting	insultante
hastily	precipitadamente
unquestionably	incuestionablemente
infiltrators	infiltrados
dick	polla
inflammatory	inflamatorio
compliment	cumplido
onerous	oneroso
irresponsibly	irresponsable
luxuriate	deleitarse
illness	enfermedad
precipitate	precipitar
zealot	fanático
unorthodox	heterodoxo
worryingly	preocupante
worries	preocupaciones
wreak	infligir
sensationally	sensacionalmente
handsomely	generosamente
tempest	tempestad
reject	rechazar
pest	parásito
exasperatingly	exasperantemente
bitchy	perra
tragedy	tragedia
agonizing	agonizante
heinous	atroz
worthiness	mérito
apocalypse	apocalipsis
quarrel	pelea
commitment	compromiso
defrauding	defraudar
degradingly	degradantemente
trashed	destrozado
selfishness	egoísmo
rectify	rectificar
water-down	agua-down
joyfully	alegremente
impertinent	impertinente
punctual	puntual
imbalance	desequilibrio
irked	irritado
nosey	fisgón
tenacity	tenacidad
abruptly	abruptamente
excels	sobresale
top	superior
exuberant	exuberante
relent	ablandarse
mistrust	desconfianza
supremacy	supremacía
subservient	subordinado
amazes	sorprende
issues	cuestiones
presumptuously	presuntuosamente
prefers	prefiere
hysteria	histeria
benefits	beneficios
misfortune	desgracia
glimmering	resplandeciente
irrelevant	irrelevante
pale	pálido
pan	cacerola
accomplished	cumplido
fantastic	fantástico
crashing	estrellarse
optimistic	optimista
dissolute	disoluto
disgruntled	descontento
rosy	rosado
lethargy	letargo
unreasonable	irrazonable
zealously	celosamente
abominate	abominar
jumpy	asustadizo
elite	élite
sparkle	brillo
fatalistic	fatalista
innocuous	inocuo
carefree	despreocupado
preferably	preferiblemente
flee	huir
imprecate	imprecar
stink	hedor
empathy	empatía
dragoon	dragón
prodigious	prodigioso
skeptic	escéptico
affinity	afinidad
undesirable	indeseable
sneaky	furtivo
victorious	victorioso
exquisitely	exquisitamente
insanely	locamente
bruising	hematomas
yay	toma
blame	culpa
refreshing	refrescante
concen	concan
abysmal	abismal
applaud	aplaudir
sober	sobrio
effective	efectivo
traumatized	traumatizado
reprove	reprender
gratifyingly	gratificantemente
uproar	estruendo
murderer	asesino
bump	chichón
kill	matar
mistrustful	desconfiado
gorgeously	magníficamente
inefficient	ineficiente
violators	violadores
aggravating	agravante
inspirational	inspirado
disarm	desarmar
indecent	indecente
priceless	inestimable
troubling	preocupante
uneven	desigual
vibrates	vibra
enjoyably	divertida
subsidize	subvencionar
swank	presumir
bonkers	loco
obscured	oscurecido
qualm	náusea
ugliness	fealdad
wrinkled	arrugado
deject	presar
discontented	descontento
lethal	letal
righteously	rectamente
impiety	impiedad
stimulate	estimular
angry	enojado
liking	gusto
important	importante
unprofitable	improductivo
transgression	transgresión
snags	inconvenientes
devastatingly	devastadoramente
bitter	amargo
valiant	valiente
harpy	arpía
perfect	perfecto
discordant	discordante
all-around	total
intransigence	intransigencia
destabilisation	desestabilización
weep	llorar
discourage	desalentar
painful	doloroso
hoard	acumulación
grin	sonrisa
corrupt	corrupto
despotism	despotismo
success	éxito
weaknesses	debilidades
multi-polarization	multipolarización
disputed	disputa
superficiality	superficialidad
fissures	fisuras
swamped	inundado
maladjusted	inadaptado
forbidden	prohibido
hurtful	hiriente
flourishing	floreciente
unfulfilled	incumplida
agreeably	agradablemente
inescapably	ineludiblemente
well-mannered	educado
barren	bares
fallacies	falacias
inefficiently	ineficientemente
brutalities	brutalidades
cool	fresco
doubt	duda
unsuspecting	desprevenido
stench	hedor
worse	peor
tangled	enredado
revolutionized	revolucionado
flakey	escamosa
excitement	emoción
trickery	trampa
interruption	interrupción
miserably	tristemente
leaky	agujereado
morality	moralidad
impetuous	impetuoso
wrip	pida
bless	bendecir
unfeeling	insensible
assurance	garantía
pertinacious	pertinaz
nagging	persistente
shunned	rechazado
slur	calumnia
rifts	divisiones
exalted	exaltado
traumatize	traumatizar
heartless	insensible
fastidious	fastidioso
barbarous	bárbaro
shamefulness	vergüenza
simplify	simplificar
reaffirm	reafirmar
intimidatingly	intimidantemente
overstatement	exageración
celebration	celebración
accolade	premio
crap	mierda
terrorize	aterrorizar
shocking	chocante
effectively	eficazmente
rascal	bribón
blah	bla
motivated	motivado
disrespecting	irrespetando
unlawfulness	ilegalidad
inhospitable	hostil
stiflingly	insoportablemente
heaven	cielo
overacted	sobreactuado
expulse	expulsar
tempting	tentador
comfortable	cómodo
rhetoric	rhetorica
shark	tiburón
feasibly	factiblemente
foe	enemigo
hissing	silbido
prohibitive	prohibitivo
mischievous	travieso
scuffs	desgastes
correct	correcto
insults	insultos
sugar-coated	azucarado
mordantly	mordazmente
denunciations	denuncias
evocative	evocador
insubordinate	insubordinado
disordered	desordenado
dissonantly	disonantemente
merrily	alegremente
polite	educado
blossom	flor
flabbergasted	asombrado
cleanliness	limpieza
covenant	pacto
vouchsafe	conceder
violator	violador
wrought	forjado
deviate	desviarse
dizzy	mareado
unwelcome	molesto
scenic	escénico
retaliatory	vengativo
injustice	injusticia
devout	devoto
slack	flojo
disable	inhabilitar
depression	depresión
conspicuously	deberes
magical	mágico
inimically	hostilmente
facetious	chistoso
insurmountably	insuperablemente
inexpertly	inexpertamente
scaly	escamoso
dissident	disidente
stubbornly	tercamente
reconcile	reconciliar
toll	peaje
heretic	hereje
downfall	caída
loneliness	soledad
inspiring	inspirador
prefered	preferida
extol	ensalzar
snagged	enganchado
terrorism	terrorismo
safe	seguro
glow	brillar
submissive	sumiso
wily	astuto
enrapture	arrebatar
sickly	enfermizo
evenly	igualmente
overwhelmed	abrumado
creative	creativo
overpower	dominar
fortitude	fortaleza
multi-purpose	multiuso
discriminatory	discriminatorio
noises	ruidos
revulsion	repugnancia
liberation	liberación
smartly	inteligentemente
pretend	pretender
proprietary	propietario
violation	violación
beloved	amado
geeky	geek
betrayals	traiciones
fidgety	nervioso
eschew	evitar
tortures	torturas
caricature	caricatura
qualified	calificado
severity	severidad
inefficacious	ineficaz
overshadow	eclipsar
faith	fe
entice	atraer
desiccate	desecar
abomination	abominación
concerned	preocupado
supporting	apoyando
cautionary	advertencia
itchy	picante
spiritual	espiritual
desperately	desesperadamente
estranged	distanciado
sweetheart	novio
gibberish	algarabía
stooges	chiflados
irate	airado
abrade	desgastar
imprudence	imprudencia
drunkard	borracho
renunciation	renuncia
bothersome	molesto
dishonesty	deshonestidad
outrages	ultrajes
mistakes	errores
venomously	venenosamente
liability	responsabilidad
ambivalent	ambivalente
scoff	burlarse
questionable	dudoso
rich	rico
brutish	brutal
slime	limo
gracefully	graciosamente
relaxed	relajado
rejects	rechaza
jabber	farfullar
entrap	entrampar
upheld	sostenida
delirious	delirante
offend	ofender
profanity	blasfemia
damning	condenatorio
downhearted	desanimado
advanced	avanzado
occluding	oclusión
ripped	rasgado
torture	tortura
drains	desagües
inadequately	inadecuadamente
justly	justamente
discouragingly	desalentadoramente
musty	mohoso
pandemonium	pandemonio
wondrous	maravilloso
setbacks	contratiempos
tawdry	cursi
romantically	románticamente
inconvenience	inconveniencia
overthrow	derrocamiento
obstinately	obstinadamente
shady	sombreado
straggle	rezagarse
awfulness	horror
extraordinarily	extraordinariamente
lying	acostado
qualify	calificar
groundless	infundado
conceited	presumido
pain	dolor
wonderous	maravillosa
ease	facilidad
renaissance	renacimiento
resourcefulness	inventiva
accusingly	acusatoriamente
rightly	correctamente
bothers	molesta
intricate	intrincado
furious	furioso
rip-off	estafa
desolate	solitario
bumpy	desigual
ready	listo
wastefulness	residuos
radicals	radicales
backwoods	rústico
faulty	defectuoso
empower	autorizar
brilliances	brillos
disallow	rechazar
crashed	estrellado
disconcert	desconcertar
fair	feria
ruthless	implacable
suffers	sufre
personages	personajes
cushy	cómodo
pleased	satisfecho
ineffectively	ineficazmente
hiss	silbido
impaired	deterioro
hype	bombo
depressingly	depresivamente
inequities	desigualdades
occluded	ocluido
prate	prateek
hindrance	obstáculo
naïve	ingenuo
run-down	deteriorado
uncomfortable	incómodo
arduously	arduamente
dents	abolladuras
acclaimed	aclamado
blur	mancha
tantalizingly	tentadoramente
botch	chapucería
sore	llaga
adulteration	adulteración
favored	favorecido
stiff	endurecer
jubilant	jubiloso
stealing	robo
extremism	extremismo
decline	disminución
alarming	alarmante
overthrows	derrocamientos
subversive	subversivo
renounce	renunciar
weaken	débil
difficult	difícil
hatred	odio
delusions	ilusiones
disregard	indiferencia
killjoy	aguafiestas
damage	daño
calumny	calumnia
perverts	pervertidos
unsteadily	inestablemente
despicable	despreciable
rusts	royas
oppressiveness	opresión
mishap	percance
insensitively	insensiblemente
outsmart	burlar
gimmick	truco
hells	infiernos
romanticize	romantizar
pittance	miseria
mistrustfully	desconfianza
respite	respiro
thrills	emociones
destruction	destrucción
distract	distraer
gravely	gravemente
resigned	resignado
enjoyable	agradable
oppressively	opresivamente
cringe	encogerse
stifle	ahogar
marveled	maravillado
giddy	mareado
breathlessness	disnea
rattled	sacudido
murder	asesinato
crumples	arruga
scarce	escaso
undone	deshecho
throttle	acelerador
troublemaker	alborotador
openness	franqueza
stalls	establos
useable	utilizable
spontaneous	natural
savvy	comprensión
obstructed	obstruido
bright	brillante
ultra-crisp	ultra-nítido
encroachment	usurpación
unhappy	infeliz
sinful	pecaminoso
leverage	apalancamiento
beautifully	hermosamente
tortured	torturado
suck	chupar
vagrant	vagabundo
corrupting	corruptor
scoundrel	canalla
suspicious	suspicaz
confession	confesión
usurper	usurpador
satirical	satírico
ultimatum	ultimátum
sourly	acritud
obscenity	obscenidad
hollow	hueco
indiscreetly	indiscretamente
spewing	vomitando
badly	mal
complaints	quejas
slaves	esclavos
woe	ay
taxing	agotador
blockbuster	superproducción
fascinating	fascinante
tout	revendedor
jubilantly	jubilosamente
guile	engaño
plagiarize	plagiar
hero	héroe
perplexing	confuso
obsessive	obsesionante
illegitimate	ilegítimo
timidity	timidez
indignation	indignación
wreaks	apesta
disdain	desdén
glorious	glorioso
extort	extorsionar
confounded	confundido
shameless	desvergonzado
protracted	prolongado
discountenance	desaprobar
overemphasize	enfatizar
smelly	maloliente
galls	agallas
apprehensive	aprensivo
pretentiously	pretenciosamente
goodly	hermoso
cure	cura
deadly	mortal
recklessly	imprudentemente
belittle	empequeñecer
moot	discutible
avenge	vengar
immoderate	inmoderado
jolly	alegre
complication	complicación
execrate	execrar
amuse	divertir
slowly	despacio
tarnish	empañar
luxuriously	lujosamente
dread	temer
egotistically	egoístamente
impress	impresionar
compactly	compacta
thirst	sed
reputation	reputación
immaterial	inmaterial
engrossing	absorbente
struggled	luchado
infamy	infamia
craps	dados
dangerousness	peligrosidad
warped	deformado
obtrusive	molesto
tyranny	tiranía
fortunately	afortunadamente
nervous	nervioso
involuntarily	involuntariamente
contention	contención
distraught	loco
exemplar	ejemplar
efficacious	eficaz
decrepitude	decrepitud
easiness	facilidad
mourner	doliente
sneering	despreciativos
unexpected	inesperado
consternation	consternación
shortsighted	miope
worriedly	preocupación
passive	pasivo
benevolence	benevolencia
imprecision	imprecisión
difficulty	dificultad
grievously	gravemente
traped	atrapado
admire	admirar
coarse	grueso
sloppily	descuidadamente
work	trabajo
drain	drenar
sunk	hundido
obsessiveness	obsesión
fancier	criador
stingy	tacaño
abound	abundar
unbelievable	increíble
scared	miedo
disgustful	repulsivas
cursed	maldito
edify	edificar
whiny	llorón
abusive	abusivo
throbs	latidos
grisly	espeluznante
disconsolation	desconsuelo
inventive	inventivo
euphoric	eufórico
slick	mancha
rancor	rencor
harbors	puertos
insignificant	insignificante
hang	caída
confessions	confesiones
bewitch	hechizar
fevers	fiebres
powerful	potente
straightforward	sencillo
cronyism	amiguismo
slump	depresión
criticized	criticado
apathy	apatía
harm	daño
devastates	arrasa
rankle	doler
devastation	devastación
mistaken	equivocado
entertains	entretiene
odor	olor
lousy	piojoso
transgress	transgredir
cataclysmically	cataclísmicamente
exasperate	exasperar
dumps	vertederos
lowly	humilde
eccentricity	excentricidad
insupportable	insoportable
privilege	privilegio
muscle-flexing	músculo-flexión
politeness	cortesía
invidiously	envidiosamente
stunned	aturdido
sweetly	dulcemente
enfeeble	debilitar
zaps	zapping
draconic	dracónica
immobilized	inmovilizado
scandals	escándalos
devastated	devastado
mawkishness	sensiblería
treacherous	traicionero
unrelenting	implacable
delays	retraso
droops	cae
infringement	infracción
bombardment	bombardeo
enjoy	disfrutar
tumbles	tumbos
tenderness	dolor
steadiness	firmeza
blithe	alegre
insolence	insolencia
adroit	hábil
stumble	tropezón
babble	balbuceo
drastic	drástico
snobby	snob
died	muerto
maladjustment	inadaptación
delight	deleite
succumb	sucumbir
byzantine	bizantino
merriness	alegría
delicate	delicado
enviable	envidiable
effortless	fácil
zeal	celo
frighten	asustar
haunting	obsesionante
effigy	efigie
puzzled	perplejo
accomplish	lograr
repel	repeler
inevitably	inevitablemente
unbeatable	insuperable
irrationalities	irracionalidades
inconsistency	inconsecuencia
wickedness	maldad
obstacle	obstáculo
defect	defecto
flimsy	endeble
discontinuity	discontinuidad
leak	fuga
womanizing	mujeriego
enraptured	embelesado
sardonic	sardónico
rust	herrumbre
sunken	hundido
beckoning	señas
exhaustion	agotamiento
inviolate	inviolado
fanatics	fanáticos
disturb	perturbar
pompous	pomposo
unsatisfactory	insatisfactorio
bitingly	mordazmente
falls	caídas
creaks	cruje
occludes	ocluye
cracks	grietas
compliant	obediente
furiously	furiosamente
perversely	perversamente
stunt	truco
offending	infractor
hardships	dificultades
extraordinary	extraordinario
excruciatingly	insoportablemente
stylish	elegante
fathomless	insondable
disgruntle	disgustar
inhumanity	inhumanidad
dastardly	ruin
fiction	ficción
unacceptably	inaceptablemente
betrayer	traidor
leaking	fugas
junky	adicto
truthful	veraz
bewildered	desconcertado
invigorating	vigorizante
rabid	rabioso
dislocated	dislocado
uphold	defender
prejudicial	perjudicial
remedy	remedio
cleanly	limpiamente
repugnantly	repugnantemente
lewdness	lascivia
outbursts	arrebatos
limited	limitado
complicated	complicado
respect	respeto
buzzing	zumbido
drag	arrastrar
acrimonious	mordaz
capably	competentemente
irritant	irritante
admiring	admirativo
astoundingly	pasmosamente
achievable	alcanzable
unspeakable	indecible
myth	mito
floundering	forcejeo
helplessness	impotencia
annoys	late
gallant	galante
gutter	canalón
creep	arrastrarse
believable	creíble
flashy	ostentoso
whores	putas
doomed	condenado
insensitivity	insensibilidad
vigilant	vigilante
dissatisfaction	insatisfacción
responsive	sensible
illusions	ilusiones
smelled	olido
distortion	distorsión
complement	complemento
gush	chorro
rumple	arrugar
breathtaking	asombroso
niggles	peros
infections	infecciones
blunders	errores
hotbeds	semilleros
disheartening	descorazonador
nourishing	nutritiva
puppets	marionetas
absence	ausencia
cutthroat	asesino
forfeit	perder
stellar	estelar
inundate	inundar
defeating	derrotar
loves	ama
imbroglio	embrollo
unwilling	reacio
unresolved	irresoluto
plunderer	saqueador
longing	anhelo
enviously	envidiosamente
regression	regresión
fear	miedo
indoctrination	adoctrinamiento
browbeat	atemorizar
zap	zas
daunting	desalentadora
contagious	contagioso
prohibitively	prohibitivamente
incredibly	increíblemente
bugs	insectos
annoyance	molestia
impious	impío
tetchy	irritable
refused	rechazado
massacre	matanza
ravage	destrozar
entertaining	entretenido
din	estruendo
expire	caducar
crippled	lisiado
bolster	reforzar
suppression	supresión
lack	falta
irresistibly	irresistiblemente
convincing	convincente
repulse	repulsión
accomodative	acomodativa
crippling	paralizante
bruise	contusión
adulterate	adulterar
distaste	disgusto
mistakenly	erróneamente
meager	exiguo
creeping	progresivo
harshly	duramente
wellbeing	bienestar
salutary	saludable
austere	austero
bumped	topado
angel	ángel
obtuse	obtuso
murky	turbio
discriminate	discriminar
peaceable	pacífico
impatient	impaciente
tardy	tardío
jubilate	jubilar
forged	falsificado
subjection	sujeción
encroach	usurpar
humiliating	humillante
castrated	castrado
spitefulness	malevolencia
disavowal	desautorización
respectfully	respetuosamente
smiling	sonriente
insufferably	insufriblemente
classic	clásico
unclear	claro
insinuate	insinuar
dismayingly	desalentadoramente
blister	ampolla
confusing	confuso
impressed	impresionado
notorious	notorio
blunder	disparate
dropout	deserción
grudges	rencores
unlucky	desafortunado
niggle	queja
delirium	delirio
nefariously	vilmente
unreasonably	excesivamente
disintegrate	desintegrarse
stupidest	estúpida
encouragement	estímulo
polution	contaminación
sarcastically	sarcásticamente
sagely	sabiamente
hallucinate	alucinar
